"US Chief Financial Officers at PUBLIC COMPANIES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Siegmund","Doctor","Doctor Jan Siegmund","IQ24401301","1964","54","Male","","ADP","243","Public Company","Technology ","  12,379.8 ","  58,188.8 ","  58,000 ","www.adp.com","Corporate Vice President/Chief Financial Officer","","Yes","5-Nov-12","1-Jun-99","  5.7 ","  19.2 ","Internal","President, Added Value Services and Chief Strategy Officer ","Non-Finance","McKinsey & Co Inc","Technology","Private ","Senior Engagement Manager ","Non-finance","19","25","None","None","8","None","None","None","4","None","None","8","None","None","None","None","9","None","None","None","Technology","None","None","None","None","25","None","US and Germany","25","None","None","None","None","1","None","None","None","None","Unknown","Unknown","Unknown","No","NA","NA","Masters of Science , Industrial Engineering, 1988","University of California, Santa Barbara "
"","Jacobs","Kevin","Kevin J Jacobs","IQ45531224","1972","46","Male","","Hilton Worldwide Holdings","324","Public Company","Consumer","  3,467.0 ","  24,548.4 ","  163,000 ","www.hiltonworldwide.com","Executive Vice President/Chief Financial Officer","","No","8-Aug-13","1-Jun-08","  5.0 ","  10.2 ","Internal","Executive Vice President and Chief - Staff","Non-Finance","Fairmont Raffles Hotels International Inc","Consumer","Private ","Senior VP - Mergers & Acquisitions ","M&A","16","4","None","None","None","None","None","14","1","None","4","None","6","4","None","None","4","None","None","None","","17","None","None","None","4","None","US and Canada ","20","1","None","None","None","None","None","None","None","None","School of Hotel Administration (SHA), Cornell University ","Science","1994","No","NA","NA","No","NA"
"","Karlovich","Trey","Robert (Trey) W Karlovich III","IQ326296296","1978","40","Male","","NGL Energy Partners","223","Public Company","Industrial and Natural Resources ","  17,282.7 ","  1,449.2 ","  2,700 ","www.nglenergypartners.com","Executive Vice President/Chief Financial Officer","","No","22-Feb-16","22-Feb-16","  2.4 ","  2.4 ","External","NA","NA","Targa Pipeline Partners LP","Industrial and Natural Resources ","Partnership","Chief Financial Officer/Chief Accounting Officer ","CFO/FD","19","6","17","4","None","None","None","None","None","None","None","None","3","3","None","None","None","None","None","None","","None","None","None","15","4","None","US","19","None","None","None","None","None","None","None","None","None","Oklahoma State University ","Accounting","1999","No","NA","NA","No","NA"
"","Paladino","Steven","Steven Paladino","IQ339452","1957","61","Male","American","Henry Schein","238","Public Company","Healthcare","  12,461.5 ","  11,301.8 ","  22,000 ","www.henryschein.com","Executive Vice President/Chief Financial Officer","","No","1-Apr-93","1-Jan-87","  25.3 ","  31.6 ","Internal","Vice President/Treasurer and Executive Director","Treasury","BDO USA LLP","Financial Services","Private","Manager, General Audit & Consulting Services","Other","38","23","3","7","None","None","None","None","None","None","3","None","25","None","None","None","None","None","None","None","Healthcare and Financial Services","None","7","31","None","None","None","US","38","None ","None ","None ","None ","None ","None ","None ","None ","Senior Vice President/Chief Financial Officer, HENRY SCHEIN INC , 1995"," Bernard M Baruch College, City University of New York  ","Accounting","1985","No","NA","NA","No","NA"
"","Short","Mike","Michael (Mike) J Short","IQ266587185","1960","58","Male","","Toys ""R"" Us","N/A","Private Company","Consumer","  11,540.0 ","0","  64,000 ","www.toysrus.com","Executive Vice President/Chief Financial Officer","","No","23-Jun-14","23-Jun-14","  4.1 ","  4.1 ","External","NA","NA","AUTONATION INC","Industrial and Natural Resources ","Public","Executive Vice President/Chief Financial Officer","CFO/FD","28","7","None","None","None","None","4","None","None","None","None","None","19","None","None","None","None","None","None","None","Industrial and Natural Resources, Consumer, Technology and Non-Profit","4","None","None","12","2","17","US","35","None","None","None","None","None","None","None","None","None","United States Naval Academy ","Science","1982","Yes","Columbia University ","1991","No","NA"
"","Bible","Daryl","Daryl N Bible","IQ39800795","1962","56","Male","","BB&T Corp.","250","Public Company","Financial Services ","  10,770.0 ","  41,256.4 ","  36,484 ","www.bbt.com","Senior Executive Vice President/Chief Financial Officer","","Yes","1-Jan-09","2-Jan-08","  9.6 ","  10.6 ","Internal","Assistant Chief Financial Officer","Divisional CFO","US Bancorp","Financial Services ","Public ","Treasurer ","Treasury","33","9","None","None","None","None","None","None","None","None","24","None","9","None","None","None","None","None","None","None","","None","34","None","None","None","None","US","34","None","None","None","None","None","None","None","None","None","University of Cincinnati ","Finance","Unknown","Yes","University of Cincinnati ","Unknown","No","NA"
"","Patel","Himanshu","Himanshu A Patel","IQ257079599","1975","43","Male","","First Data","254","Public Company","Technology ","  8,129.0 ","  18,880.3 ","  22,000 ","www.firstdata.com/en_us/home.html","Executive Vice President/Chief Financial Officer","","Yes","14-Sep-15","1-Jun-13","  2.9 ","  5.2 ","Internal","Executive Vice President - Business Development & Strategy ","Other","JPMORGAN CHASE & CO","Financial Services","Public","Managing Director","Other","21","3","None","None","None","None","None","None","None","None","None","None","18","None","None","None","None","None","None","None","Technology & Financial Services","None","16","None","None","5","None","US","21","None","None","None","None","None","None","None","None","Executive Vice President/Chief Financial Officer, FIRST DATA CORP, 2015","Leonard N Stern School of Business, New York University","Finance and Marketing","1997","No","NA","NA","No","NA"
"","Larson","Todd","Todd C Larson","IQ325538","1963","55","Male","","Reinsurance Group of America","234","Public Company","Financial Services ","  12,515.8 ","  9,366.6 ","  2,640 ","www.rgare.com","Senior Executive Vice President/Chief Financial Officer","","Yes","1-May-16","1-Jan-95","  2.2 ","  23.6 ","Internal","Executive Vice President/Chief Risk Officer","Other","Northwestern Mutual Life Insurance Company","Financial Services","Private","Assistant Controller ","Accounting","33","2","23","None","None","None","None","None","None","None","13","None","4","None","None","None","None","None","None","None","","None","24","None","None","9","None","US","33","None","None","None","None","None","None","None","None","None","Northern Illinois University  ","Accounting","Unknown","No","NA","NA","No","NA"
"","Capello","Jeff","Jeffrey (Jeff) D Capello","IQ546206970","1965","54","Male","","Biogen","245","Public Company","Healthcare ","  12,273.9 ","  63,567.5 ","  7,300 ","www.biogen.com","Executive Vice President, Chief Financial Officer and Chief Accounting Officer","","No","11-Dec-17","11-Dec-17","  0.6 ","  0.6 ","External","NA","NA","Beacon Health Options Inc","Healthcare ","Private ","Executive Vice President/Chief Financial Officer","CFO/FD","21","6","9","4","None","None","None","None","None","None","5","None","11","4","1","None","None","None","None","None","","None","None","9","4","4","None","US","26","None","None","None","None","None","None","None","None","None","University of Vermont ","Science","1986","Yes","Harvard Business School ","Unknown","Unknown","Unknown"
"","Miller","Christopher","Christopher M Miller","IQ31044621","1960","58","Male","","Core-Mark Holding","247","Public Company","Industrial and Natural Resources ","  12,225.0 ","  974.3 ","  8,413 ","www.core-mark.com","Senior Vice President/Chief Financial Officer","","No","1-May-16","8-Jan-07","  2.2 ","  11.6 ","Internal","Vice President/Chief Accounting Officer","Accounting","COST PLUS INC","Consumer","Public","Vice President/Controller/Assistant Secretary ","Accounting","22","2","12","4","None","None","None","None","None","None","6","4","9","None","None","None","None","None","None","None","","8","None","None","4","2","None","US","35","None ","None ","None ","None ","None ","None ","None ","None ","None","Dowling College "," Accounting","1983","No","NA","NA","No","NA"
"","Allan","Don","Donald (Don) Allan Jr","IQ9503835","1965","53","Male","","Stanley Black & Decker","228","Public Company","Industrial and Natural Resources ","  12,747.2 ","  21,610.0 ","  57,765 ","www.stanleyblackanddecker.com","Executive Vice President/Chief Financial Officer","","Yes","1-Jan-09","1-Mar-99","  9.6 ","  19.4 ","Internal","Vice President/Corporate Controller","Other","Henkel Loctite Corp","Industrial and Natural Resources ","Private","Unknown","Unknown","14","2","6","9","None","None","None","None","None","None","None","None","None","9","None","None","None","None","None","None","","None","None","None","22","9","None","US and Hong Kong ","27","None","None","None","None","None","None","2","None","None"," University of Hartford ","Unknown","Unknown","No","NA","NA","No","NA"
"","Suever","Cathy","Catherine (Cathy) A Suever","IQ116775429","1959","59","Female","","Parker-Hannifin","256","Public Company","Industrial and Natural Resources ","  12,029.3 ","  22,264.1 ","  56,690 ","www.parker.com","Chief Financial Officer/Executive Vice President, Finance","","No","17-Nov-16","1-Jan-87","  1.7 ","  31.6 ","Internal","Vice President and Corporate Controller ","Controllership","NA","NA","NA","NA","NA","31","1","29","None","None","None","None","1","None","None","2","None","20","None","None","None","None","None","None","None","","None","None","None","31","None","None","US","31","None","None","None","None","None","None","None","None","None","University of Dayton ","Accounting","1980","No","NA","NA","No","NA"
"","Boehnlein","Glenn","Glenn S Boehnlein","IQ329694260","1961","57","Male","","Stryker","240","Public Company","Healthcare ","  12,444.0 ","  64,089.0 ","  33,000 ","www.stryker.com","Vice President/Chief Financial Officer","","No","1-Apr-16","1-Jan-03","  2.3 ","  15.6 ","Internal","Division Group Chief Financial Officer ","Divisional CFO","Success Television Inc","Technology","Private ","Chief Financial Officer","Divisional Chief Financial Officer","18","5","2","None","None","12","None","2","None","8","2","None","17","Unable to Calculate","None","None","None","None","None","None","","None","None","15","None","28","None","US","33","None","None","None","None","None","None","None","None","None","Mississippi State University","Professional Accounting


","1984","No","NA","NA","Masters of Professional Accounting, 1985","Mississippi State University"
"","Travis","Tracey","Tracey Thomas Travis","IQ215790960","1962","56","Female","","Estée Lauder","258","Public Company","Consumer","  11,824.0 ","  53,485.5 ","  46,000 ","www.elcompanies.com","Chief Financial Officer/Executive Vice President, Finance","","No","20-Aug-12","20-Aug-12","  5.9 ","  5.9 ","External","NA","NA","RALPH LAUREN CORP","Consumer","Public ","Senior VP/Chief Financial Officer ","CFO/FD","19","13","5","None","None","None","None","None","None","5","None","None","None","None","None","None","None","None","None","None","","23","None","None","2","None","None","US","31","None","None","None","None","None","None","None","None","None","University of Pittsburgh","Industrial Engineering","1983","Yes","Columbia University","1986","No","NA"
"","Kellogg","Peter","Peter N Kellogg","IQ267786334","1955","63","Male","","Celgene","224","Public Company","Healthcare ","  13,003.0 ","  59,336.7 ","  7,467 ","www.celgene.com","Executive Vice President/Chief Financial Officer","","No","1-Jul-14","1-Jul-14","  4.1 ","  4.1 ","External","NA","NA","MERCK & CO INC","Healthcare ","Public ","Executive Vice President/Chief Financial Officer/Principal Financial Officer","CFO/FD","23","20","None","3","None","4","None","None","None","None","None","None","19","2","None","1","None","None","None","None","","13","None","18","None","9","None","US","39","None","None","None","None","None","None","None","None","None","Princeton University ","Civil Engineering & Management","1978","Yes","Pennsylvania, University of/Wharton","1982","No","NA"
"","Shedlin","Gary","Gary Stephen Shedlin","IQ231828911","1963","55","Male","","BlackRock","237","Public Investment Firm","Financial Services ","  12,491.0 ","  84,210.1 ","  13,900 ","www.blackrock.com","Senior Managing Director and Chief Financial Officer","","Yes","9-May-13","1-Jan-12","  5.2 ","  6.6 ","Internal","Advisor","Non-Finance","Morgan Stanley","Financial Services ","Public ","Division Chairman/MD ","Non-finance","32","5","None","None","None","None","None","None","None","None","None","None","10","None","None","None","None","8","None","None","","None","13","None","None","None","None","US","32","None","None","None","None","None","None","None","None","None"," Colgate University  ","Arts ","1985","Yes"," Harvard Business School  ","1989","No","NA"
"","Frenzel","Bob","Robert (Bob) C Frenzel","IQ333488640","1970","48","Male","","Xcel Energy","266","Public Company","Industrial and Natural Resources ","  11,404.0 ","  22,891.1 ","  11,105 ","www.xcelenergy.com","Executive Vice President/Chief Financial Officer","","Yes","3-May-16","3-May-16","  2.2 ","  2.2 ","External","NA","NA","Luminant","Industrial and Natural Resources ","Private ","Senior VP/Chief Financial Officer","CFO/FD","18","2","None","None","3","None","None","None","None","None","None","None","None","2","None","None","3","7","None","None","","None","None","None","9","2","None","US","20","None","None","None","None","None","None","None","None","None","Georgia Institute of Technology (GIT) ","Industrial Engineering","1992","Yes"," University of Chicago, Booth School of Business  ","2002","No","NA"
"","Lonegro","Frank","Frank Anton Lonegro","IQ41124642","1968","50","Male","","CSX","265","Public Company","Industrial and Natural Resources ","  11,408.0 ","  56,133.7 ","  24,006 ","www.csx.com","Executive Vice President/Chief Financial Officer","","Yes","8-Sep-15","1-Jan-99","  2.9 ","  19.6 ","Internal ","Vice President - Mechanical","Non-Finance","Holland & Knight LLP","Technology","Partnership","Associate ","non-finance","4","2","None","2","None","None","None","None","None","None","None","None","2","None","None","None","None","None","None","None","","None","18","None","None","None","None","US","18","None","None","None","None","None","None","None","None","None","Duke University ","Unknown","Unknown","Yes","University of Florida ","NA","No","NA"
"","McGarry","Jack","John (Jack) F McGarry","IQ30839076","1957","61","Male","","Unum Group","267","Public Company","Healthcare ","  11,286.8 ","  8,663.5 ","  9,400 ","www.unum.com","Executive Vice President/Chief Financial Officer","","Yes","1-Apr-15","1-May-86","  3.3 ","  32.3 ","Internal","Executive Vice President/Division President/Chief Executive Officer ","Non-finance","Unknown","Unknown","Unknown","Unknown","Unknown","17","2","None","None","None","6","Unknown","Unknown","Unknown","None","Unknown","None","17","None","4","None","None","None","None","None","","None","32","None","None","None","None","US","32","None","None","None","None","None","None","None","None","None","University of Vermont ","Mathematics","1980","No","NA","NA","No","NA"
"","Berryman","Kevin","Kevin C Berryman","IQ281082752","1959","59","Male","American","Jacobs Engineering Group","297","Public Company","Industrial and Natural Resources ","  10,022.8 ","  9,044.8 ","  44,800 ","www.jacobs.com","Executive Vice President/Chief Financial Officer","","No","1-Dec-14","1-Dec-14","  3.6 ","  3.6 ","External","NA","NA","INTERNATIONAL FLAVORS & FRAGRANCES INC","Industrial and Natural Resources ","Public","Executive Vice President/Chief Financial Officer/Principal Accounting Officer ","CFO/FD","37","9","10","None","None","None","None","None","None","None","6","None","14","None","None","None","None","None","None","None","","22","3","None","5","None","None","US and Switzerland","35","None","None","None","None","1","None","None","None","None","Occidental College  ","Economics","1981","Yes","UNIVERSITY OF CALIFORNIA","1987","No","NA"
"","Bessette","Diane","Diane J Bessette","IQ180656","1960","58","Female","American","Lennar Corporation","230","Public Company","Industrial and Natural Resources ","  12,646.4 ","  17,076.3 ","  9,111 ","www.lennar.com","Vice President/Chief Financial Officer/Treasurer","","Yes","11-Apr-18","1-Jan-95","  0.3 ","  23.6 ","Internal"," Vice President/Treasurer  ","Treasury","Holson Burnes Group Inc","Industrial and Natural Resources ","Private","Senior Financial Manager","Other","23","None","11","None","None","None","None","None","None","None","10","None","2","Unknown","None","None","None","None","None","None","","None","None","None","23","Unknown","None","US","23","None","None","None","None","None","None","None","None","None","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"","Dumont","Patrick","Patrick Dumont","IQ329510274","1974","44","Male","","Las Vegas Sands","227","Public Company","Consumer","  12,882.0 ","  60,572.3 ","  50,500 ","www.sands.com","Executive Vice President/Chief Financial Officer","","Yes","28-Mar-16","1-Jun-10","  2.3 ","  8.2 ","Internal","Senior Vice President - Finance ","Other","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","2","Unknown","Unknown","Unknown","None","Unknown","Unknown","Unknown","3","None","None","Unknown","None","None","None","3","Unknown","Unknown","Unknown","","8","Unknown","None","None","None","None","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Johns Hopkins University  ","Mechanical Engineering ","Unknown","Yes","Columbia Business School","Unknown","No","NA"
"","Gendron","Teri","Teresa (Teri) S Gendron","IQ271437877","1969","49","Female","","Leucadia National","241","Public Company","Financial Services ","  12,229.6 ","  8,009.9 ","  12,700 ","www.leucadia.com","Vice President/Chief Financial Officer","","Yes","1-Sep-14","1-Sep-14","  3.9 ","  3.9 ","External","NA","NA","TEGNA INC","Technology","Public","VP/Principal Accounting Officer/Controller ","Accounting","27","4","9","7","None","None","None","None","None","3","None","None","4","None","None","None","None","None","None","None","","None","None","None","4","23","None","US","27","None","None","None","None","None","None","None","None","None","University of Virginia  ","Commerce","1991","Yes","Georgetown University ","2009","No","NA"
"","Marsh","Drew","Andrew (Drew) S Marsh","IQ12035261","1971","47","Male","","Entergy","274","Public Company","Industrial and Natural Resources ","  11,074.5 ","  14,935.0 ","  13,504 ","www.entergy.com","Executive Vice President/Chief Financial Officer","","Yes","1-Feb-13","1-Jan-98","  5.5 ","  20.6 ","Internal","Executive Director","Non-finance","NA","NA","NA","NA","NA","8","5","None","None","None","None","None","None","None","None","None","None","8","None","None","None","None","None","None","None","","None","None","None","19","None","None","US","13","None","None","None","None","None","None","None","None","None","University of Notre Dame","Mechanical Engineering","1994","Yes","Northwestern University - Kellogg School of Management","1998","No","NA"
"","Rainey","John","John D Rainey Jr","IQ309883107","1970","48","Male","","Paypal","222","Public Company","Technology ","  13,094.0 ","  97,732.0 ","  18,700 ","www.paypal.com","Executive Vice President/Chief Financial Officer","","No","24-Aug-15","24-Aug-15","  2.9 ","  2.9 ","External","NA","NA","United Airlines Inc","Industrial and Natural Resources ","Private","Executive Vice President/Chief Financial Officer ","CFO/FD","23","6","Unknown","Unknown","None","None","7","Unknown","Unknown","None","Unknown","Unknown","6","2","None","None","None","None","None","None","","None","None","None","21","2","None","US","23","None","None","None","None","None","None","None","None","Executive Vice President/Chief Financial Officer,  PAYPAL HOLDINGS INC , 2016"," Baylor University ","Business Administration ","1993","Yes","Baylor University  ","1995","No","NA"
"","Durn","Dan","Daniel (Dan) Durn","IQ533490465","1966","52","Male","American","Applied Materials","201","Public Company","Industrial and Natural Resources ","  14,537.0 ","  50,727.9 ","  18,400 ","www.appliedmaterials.com","Senior Vice President/Chief Financial Officer","","No","1-Aug-17","1-Aug-17","  1.0 ","  1.0 ","External","NA","NA","NXP SEMICONDUCTORS N V","Industrial and Natural Resources ","Public","Executive Vice President/Chief Financial Officer","CFO/FD","18","2","2","None","None","None","None","None","3","None","None","None","None","1","None","None","None","9","None","None","","None","9","None","7","3","None","US, Singapore and Netherlands","23","None","None","None","None","2","None","1","None","None","United States Naval Academy ","Science ","1991","Yes","Columbia University ","2000","No","NA"
"","Rickel","John","John C Rickel","IQ25936635","1961","57","Male","","Group 1 Automotive","273","Public Company","Consumer","  11,123.7 ","  1,401.0 ","  14,400 ","www.group1auto.com","Senior Vice President/Chief Financial Officer","","Yes","20-Dec-05","20-Dec-05","  12.6 ","  12.6 ","External","NA","NA","FORD MOTOR CO","Industrial and Natural Resources ","Public","Controller, Ford Americas","Accounting","14","13","34","34","None","None","None","None","None","None","13","13","34","None","None","None","None","None","None","None","","None","None","None","34","None","None","US","34","None","None","None","None","None","None","None","None","None","The Ohio State University Fisher College of Business","Finance","1982","Yes","The Ohio State University","1984","No","NA"
"","Hund-Mejean","Martina","Martina Hund-Mejean","IQ39032027","1959","59","Female","American","MasterCard","236","Public Company","Technology ","  12,497.0 ","  204,317.4 ","  13,400 ","www.mastercard.com","Chief Financial Officer","","Yes","15-Nov-07","15-Nov-07","  10.7 ","  10.7 ","External","NA","NA","JOHNSON CONTROLS INTERNATIONAL PLC","Industrial and Natural Resources ","Public","Senior VP/Treasurer ","Treasury","30","11","10","None","None","None","None","None","None","None","19","None","11","None","None","None","None","None","None","None","","None","None","None","16","13","None","US","30","None","None","None","None","None","None","None","None","None","Unknown","Unknown","Unknown","Yes","Darden School of Business, University of Virginia  ","1998","Master’s Degree, Economics, 1985","Albert Ludwigs University of Freiburg"
"","Goulden","David","David I Goulden","IQ550906086","1959","59","Male","American","Booking Holdings (formerly Priceline)","229","Public Company","Consumer","  12,681.1 ","  100,840.9 ","  22,900 ","www.bookingholdings.com","Executive Vice President/Chief Financial Officer","","No","1-Mar-18","1-Mar-18","  0.4 ","  0.4 ","External","NA","NA","DELL TECHNOLOGIES INC","Technology ","Public ","Division President ","Non-finance","7","8","None","None","None","None","None","None","None","None","None","None","12","None","None","2","None","None","None","None","","None","None","None","None","27","None","US and UK ","26","None","None","None","10","None","None","None","None","None","University of Durham","Physics","Unknown","No","NA","NA","No","NA"
"","Smith","Mike","Michael (Mike) S Smith","IQ224207986","1963","55","Male","","Voya Financial","307","Public Company","Financial Services ","  8,618.0 ","  8,620.0 ","  6,300 ","www.voya.com","Executive Vice President/Chief Financial Officer","","No","7-Nov-16","2-May-13","  1.7 ","  5.2 ","Internal","Executive Vice President/Chief Risk Officer","Other","ING US Inc","Financial Services","Private","Executive Vice President/Chief Risk Officer ","Other","15","2","None","None","None","None","None","None","2","None","None","None","9","None","None","None","None","None","None","None","","None","30","None","None","None","None","US","30","None","None","None","None","None","None","None","None","None","University of Michigan ","Economics, Russian and East European Studies","1985","No","NA","NA","No","NA"
"","Giles","Bill","William (Bill) T Giles","IQ26916113","1959","59","Male","American","AutoZone","278","Public Company","Consumer","  10,888.7 ","  17,727.0 ","  70,035 ","www.autozone.com","Chief Financial Officer/Executive Vice President, Finance","","No","21-Apr-06","21-Apr-06","  12.3 ","  12.3 ","External","NA","NA","LINENS & THINGS INC","Consumer","Public ","Executive Vice President/Chief Financial Officer","CFO/FD","27","15","6","None","None","None","None","None","None","5","1","None","6","9","None","None","None","None","None","None","","26","None","1","None","9","None","US","36","None","None","None","None","None","None","None","None","None","Alfred University ","Science ","1980","No","NA","NA","No","NA"
"","Aboaf","Eric","Eric W Aboaf","IQ414842977","1964","54","Male","","State Street Corp.","259","Public Company","Financial Services ","  11,168.0 ","  35,482.6 ","  37,192 ","www.statestreet.com","Executive Vice President/Chief Financial Officer","","No","1-Dec-16","1-Dec-16","  1.6 ","  1.6 ","External","NA","NA","CITIZENS FINANCIAL GROUP INC","Financial Services","Public","Executive Vice President and Chief Financial Officer ","CFO/FD","25","4","1","1","None","4","4","7","7","2","7","1","18","None","None","None","None","12","None","None","","None","15","None","None","13","None","US","29","None","None","None","None","None","None","None","None","None","Wharton School, University of Pennsylvania  ","Business & Engineering","1986","No","NA","NA","Master’s Degree, Computer Science, 1988","Massachusetts Institute of Technology"
"","Oleksiak","Peter","Peter B Oleksiak","IQ49164573","1966","52","Male","","DTE Energy","232","Public Company","Industrial and Natural Resources ","  12,607.0 ","  18,565.9 ","  10,200 ","www.dteenergy.com","Senior Vice President/Chief Financial Officer","","Yes","1-Jan-14","1-May-98","  4.6 ","  20.2 ","Internal","Senior Vice President - Finance ","Other","CHRYSLER CORP","Industrial and Natural Resources ","Public ","Financial Analyst  ","Other","19","4","12","None","None","None","None","1","None","1","3","None","None","None","None","None","None","None","None","None","","None","None","None","19","None","None","US","20","None","None","None","None","None","None","None","None","None","  Wayne State University  ","Science ","1988","Yes","Wharton School, University of Pennsylvania ","1992","No","NA"
"","D'Ambrosio","Ralph","Ralph G D'Ambrosio","IQ653872","1967","51","Male","American","L3 Technologies (formerly L-3 Communications)","276","Public Company","Industrial and Natural Resources ","  9,573.0 ","  15,411.5 ","  31,000 ","www.L3T.com","Senior Vice President/Chief Financial Officer","","Yes ","18-Jan-07","1-Aug-97","  11.5 ","  21.0 ","Internal","Vice President - Finance","Other","Coopers & Lybrand LLP","Technology","Partnership","Unknown","Unknown","29","10","16","None","None","None","None","None","None","None","None","None","10","8","None","None","None","None","None","None","","None","None","None","None","29","None","US","29","None","None","None","None","None","None","None","None","None"," Iona College  ","Business Administrattion","1989","Yes"," New York University  ","1997","No","NA"
"","Voliva","Richard","Richard L Voliva III","IQ417304571","1977","41","Male","","HollyFrontier","206","Public Company","Industrial and Natural Resources ","  14,251.3 ","  12,355.1 ","  3,522 ","www.hollyfrontier.com","Executive Vice President/Chief Financial Officer","","No","29-Oct-15","1-Apr-14","  2.7 ","  4.3 ","Internal","Vice President - Corporate Development ","CD","Millennium Management LLC","Financial Services","Public","Senior VP/Chief Financial Officer ","CFO/FD","19","2","3","None","0.8","None","None","3","2","None","3","None","13","None","None","None","None","3","None","None","","None","6","None","4","3","None","US","19","None","None","None","None","None","None","None","None","None","Harvard University","Economics and Near Eastern Languages and Civilizations","1999","No","NA","NA","Master of Arts, International Relations, 2005","John Hopkins University"
"","White","Matt","Matthew (Matt) J White","IQ47389785","1972","46","Male","","Praxair","264","Public Company","Industrial and Natural Resources ","  11,437.0 ","  45,635.5 ","  26,550 ","www.praxair.com","Senior Vice President/Chief Financial Officer","","Yes","1-Jan-14","1-Aug-08","  4.6 ","  10.0 ","Internal","President","Non-Finance","GenTek Inc.","Industrial and Natural Resources ","Public ","Group Controller","Other","15","3","2","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","","None","None","None","17","None","None","US","17","None","None","None","None","None","None","None","None","None","Pennsylvania State University (Penn State University) ","Science ","Unknown","Yes ","University of Delaware ","Unknown","No","NA"
"","Filton","Steve","Steve G Filton","IQ191125","1957","61","Male","American","Universal Health Services","268","Public Company","Healthcare","  10,409.9 ","  10,902.8 ","  83,000 ","www.uhsinc.com","Executive Vice President/Chief Financial Officer/Secretary","","Yes","13-Feb-03","1-Jul-85","  15.5 ","  33.1 ","Internal","Vice President/Controller/Secretary ","Other","UNIVERSAL HEALTH SERVICES INC","Healthcare ","Public ","Senior Vice President and Regional Chief Financial Officer,Chief Financial Officer and Secretary ","CFO/FD","32","14","32","Unknown","None","None","None","None","None","None","None","None","1","Unable to calculate","None","None","None","None","None","None","","None","None","32","None","Unknown","None","US","32","None","None","None","None","None","None","None","None","None","Wharton School, University of Pennsylvania ","Science ","1979","No","NA","NA","No","NA"
"","Graf","R","R Mark Graf","IQ129700606","1964","54","Male","American","Discover Financial Services","263","Public Company","Financial Services ","  7,318.0 ","  25,597.5 ","  16,500 ","www.discover.com","Executive Vice President/Chief Financial Officer","","No","11-Apr-11","11-Apr-11","  7.3 ","  7.3 ","External","NA","NA","Aquiline Capital Partners LLC","Financial Services ","Private ","Investment Advisor ","Other","20","9","2","None","None","None","None","None","None","None","3","None","7","None","None","None","None","None","None","None","","None","19","None","None","None","None","US","20","None","None","None","None","None","None","None","None","None","Wharton School, University of Pennsylvania ","Unknown","Unknown","No","NA","NA","No","NA"
"","Burgher","Cedric","Cedric W Burgher","IQ432716165","1960","58","Male","American","Occidental Petroleum","220","Public Company","Industrial and Natural Resources ","  12,508.0 ","  63,536.4 ","  11,000 ","www.oxy.com","Senior Vice President/Chief Financial Officer","","No","31-May-17","31-May-17","  1.2 ","  1.2 ","External","NA","NA","EOG RESOURCES INC","Industrial and Natural Resources ","Public","SVP Investor Relations","IR ","21","7","None","None","None","None","None","3","None","None","1","None","8","None","None","None","None","None","2","2","","None","8","None","17","None","None","US","32","None","None","None","None","None","None","None","None","None","University of Texas ","Arts","1983","Yes","University of Dallas ","1984","No","NA"
"","Carleton","Mark","Mark David Carleton","IQ304205509","1961","57","Male","American","Qurate Retail (formerly Liberty Interactive)","288","Public Company","Consumer","  10,381.0 ","  10,464.0 ","0","www.libertyinteractive.com","Chief Financial Officer","","Yes","1-Oct-16","1-Jan-03","  1.8 ","  15.6 ","Internal","Senior Vice President  ","Unknown","KPMG LLP","Technology","Partnership","Senior Vice President","Non-Finance","2","2","2","None","1","None","None","None","None","None","None","None","2","21","None","None","None","None","None","None","","6","None","None","None","29","None","US","35","None","None","None","None","None","None","None","None","None","Colorado State University ","Business Administration","Unknown","No","NA","NA","No","NA"
"","Martin","Jeff","Jeffrey (Jeff) Walker Martin","IQ30582398","1961","57","Male","","Sempra Energy","271","Public Company","Industrial and Natural Resources ","  11,207.0 ","  29,309.7 ","  16,046 ","www.sempra.com","Chief Executive Officer","Yes","NA","1-Jan-17","1-Dec-04","  1.6 ","  13.7 ","Internal","Chairman/President/Chief Executive Officer ","Non-Finance","TruePricing Inc","Technology","Private ","President","Unknown","1","1","None","None","None","None","None","None","None","None","None","None","None","None","5","None","None","None","None","None","","None","None","None","14","None","None","US","14","None","None","None","None","None","None","None","None","None","United States Military Academy (USMA), West Point ","Science ","1984","No","NA","NA","MPA,1989","University of Texas at El Paso "
